,PC1,PC2,PC3,Cluster,Index,AppID,Name,Release date,Peak CCU,Price,DLC count,Header image,Website,Metacritic score,Positive,Negative,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Genres,Owners range low,Owners range high,Positive rate,Main developer,Main publisher,dev_counts,pub_counts,Action,Indie,Adventure,Strategy,RPG,Simulation,Casual,Early Access,Free to Play,Massively Multiplayer,Sports,Racing,Utilities,Design & Illustration,Animation & Modeling,Video Production,Web Publishing,Audio Production,Photo Editing,Software Training,Game Development,Education
2923,0.7132721738760093,5.147855401625694,4.577118590855769,3,2923,1364290,Animalia Survival,"Sep 9, 2021",58,19.99,3,https://cdn.akamai.steamstatic.com/steam/apps/1364290/header.jpg?t=1657135533,https://animaliasurvival.com.br/,0,808,395,84,0,84,0,High Brazil Studio,High Brazil Studio,"Action,Adventure,Indie,Massively Multiplayer,Simulation,Strategy,Early Access",50000,100000,0.6716541978387365,High Brazil Studio,High Brazil Studio,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2924,1.1444620170309108,4.7898661333500225,4.8875075304247275,3,2924,1058020,"STAR WARS™ Battlefront (Classic, 2004)","May 1, 2019",58,9.99,0,https://cdn.akamai.steamstatic.com/steam/apps/1058020/header.jpg?t=1601587260,,0,3098,114,156,0,199,0,Pandemic Studios,"Lucasfilm,LucasArts,Disney",Action,1000000,2000000,0.9645080946450809,Pandemic Studios,Lucasfilm,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2925,1.3724944320205215,4.350157986937921,4.347919737118346,3,2925,241260,Sherlock Holmes: Crimes and Punishments,"Sep 29, 2014",58,29.99,1,https://cdn.akamai.steamstatic.com/steam/apps/241260/header.jpg?t=1638545190,http://frogwares.com/games/#Crimes_Punishments,0,5037,517,782,0,594,0,Frogwares,Frogwares,Adventure,200000,500000,0.9069139359020526,Frogwares,Frogwares,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2926,0.6836690717378449,5.2772493973437395,4.788748159047739,3,2926,780210,Freeways,"Feb 6, 2018",57,3.99,0,https://cdn.akamai.steamstatic.com/steam/apps/780210/header.jpg?t=1572994131,,0,851,157,424,35,613,42,Captain Games,Captain Games,"Indie,Simulation",50000,100000,0.8442460317460317,Captain Games,Captain Games,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2927,3.037323675879998,3.010976226005411,4.1662385795225285,1,2927,8000,Tomb Raider: Anniversary,"Jun 5, 2007",57,8.99,0,https://cdn.akamai.steamstatic.com/steam/apps/8000/header.jpg?t=1592494287,http://www.tombraider.com/anniversary/,83,4173,908,360,0,264,0,Crystal Dynamics,Square Enix,"Action,Adventure",500000,1000000,0.8212950206652234,Crystal Dynamics,Square Enix,4,67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2928,0.8482041469674438,4.912165943260613,4.028441500563676,3,2928,73230,Majesty Gold HD,"Sep 4, 2009",57,9.99,0,https://cdn.akamai.steamstatic.com/steam/apps/25990/header.jpg?t=1447352469,http://www.paradoxplaza.com/games/majesty-gold,0,0,0,298,0,318,0,Cyberlore,Paradox Interactive,"Strategy,Simulation",0,20000,0.0,Cyberlore,Paradox Interactive,1,31,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2929,0.7010099372166201,5.259298906674557,4.907227510152273,3,2929,1239690,Retrowave,"May 6, 2022",57,2.99,2,https://cdn.akamai.steamstatic.com/steam/apps/1239690/header.jpg?t=1651902316,,0,7631,398,120,0,56,0,RewindApp,RewindApp,"Action,Casual,Indie,Racing,Simulation",100000,200000,0.9504296923651763,RewindApp,RewindApp,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2930,1.0899384421874951,4.808081678835917,4.527678655997984,3,2930,1222300,Into The Flames,"May 27, 2020",57,19.99,0,https://cdn.akamai.steamstatic.com/steam/apps/1222300/header.jpg?t=1654631485,,0,503,29,186,10,186,10,Fully Involved Game Studios,PlayWay S.A.,"Action,Casual,Indie,Simulation,Early Access",0,20000,0.9454887218045113,Fully Involved Game Studios,PlayWay S.A.,1,12,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,0.7472951356707389,5.16011083838334,4.847239137673532,3,2931,1010800,Wallpaper Maker （造物主视频桌面）,"Apr 3, 2019",57,0.0,0,https://cdn.akamai.steamstatic.com/steam/apps/1010800/header.jpg?t=1581497229,,0,1227,250,0,0,0,0,Dream.Machine,Dream.Machine,Utilities,200000,500000,0.8307379823967501,Dream.Machine,Dream.Machine,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2932,0.9381846206235896,4.9400359367362805,4.591894363494788,3,2932,491530,Notruf 112 | Emergency Call 112,"Nov 9, 2016",57,14.99,1,https://cdn.akamai.steamstatic.com/steam/apps/491530/header.jpg?t=1569425610,http://en.shop.aerosoft.com/eshop.php?action=article_detail&amp;s_supplier_aid=13392&amp;s_design=simulation4u&amp;shopfilter_category=Simulation4u&amp;s_language=english,0,2536,878,343,0,441,0,Crenetic GmbH Studios,Aerosoft GmbH,"Action,Casual,Simulation",200000,500000,0.7428236672524897,Crenetic GmbH Studios,Aerosoft GmbH,1,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2933,0.4671967367353711,5.365696834445355,4.746446779864838,3,2933,503830,The Life Of Greather,"Aug 25, 2016",57,1.99,1,https://cdn.akamai.steamstatic.com/steam/apps/503830/header.jpg?t=1576886355,,0,61,46,327,0,352,0,GreatherGames,GreatherGames,"Adventure,Indie,RPG",50000,100000,0.5700934579439252,GreatherGames,GreatherGames,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2934,0.3087547412573497,5.408762230882034,4.354951648750408,3,2934,1924680,MILF Conditioning,"Dec 6, 2022",57,9.89,0,https://cdn.akamai.steamstatic.com/steam/apps/1924680/header.jpg?t=1670313849,https://www.facebook.com/playmeowGame,0,0,0,0,0,0,0,Secret Garden,PlayMeow Games,"Casual,RPG",0,20000,0.0,Secret Garden,PlayMeow Games,1,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2935,0.8350231947152031,5.0477977316622535,4.667306328425919,3,2935,979070,Just Die Already,"May 20, 2021",57,5.99,0,https://cdn.akamai.steamstatic.com/steam/apps/979070/header.jpg?t=1656003917,,0,1349,333,285,0,377,0,DoubleMoose Games,Curve Games,"Adventure,Indie,Simulation",100000,200000,0.8020214030915577,DoubleMoose Games,Curve Games,1,11,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2936,0.7214026345345368,5.135970917410144,4.722580850526184,3,2936,1005930,Timeflow – Life Sim,Jan 2019,57,9.99,13,https://cdn.akamai.steamstatic.com/steam/apps/1005930/header.jpg?t=1657611672,,0,1240,77,1241,0,1241,0,Look Book Inc,Look Book Inc,"Indie,RPG,Simulation,Strategy,Early Access",50000,100000,0.9415337889141989,Look Book Inc,Look Book Inc,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2937,0.9156676504587729,4.975877430685806,4.7437712615743,3,2937,1304680,Voidigo,"Feb 25, 2021",57,14.99,0,https://cdn.akamai.steamstatic.com/steam/apps/1304680/header.jpg?t=1645610963,,0,1305,34,179,0,214,0,semiwork,semiwork,"Action,Adventure,Indie,Early Access",50000,100000,0.9746079163554892,semiwork,semiwork,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
